"Amazon 出品サービス、フルフィルメント by Amazon (FBA)"
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2025/11/02 7:54:58 JST","12170577263","注文","250-1114924-1231821","Sport-Ball-Blue","バランスボール 65cm - 妊娠中 ヨガボール 破裂防止 エクササイズボール トレーニング用 フィットネスボール ア�","1","amazon.jp","Amazon","","兵庫県","675-006","","1,376","138","0","0","0","0","-15","0","0","0","0","-485","0","0","1,014"
"2025/11/02 8:48:52 JST","12170577263","注文","250-3016633-1992623","Home-Fmat39BU","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","","Tokyo-to","190-002","","2,334","233","0","0","0","0","-26","0","0","0","0","-1,532","0","0","1,009"
"2025/11/02 9:36:53 JST","12170577263","注文","503-6170092-1938255","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","神奈川県","242-000","","617","62","69","7","0","0","-7","-69","-7","0","0","-419","0","0","253"
"2025/11/02 10:19:53 JST","12170577263","注文","250-8697797-6000600","KnBraces-2BK-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","神奈川県","213-001","","545","54","0","0","0","0","-12","0","0","0","0","-252","0","0","335"
"2025/11/02 10:42:00 JST","12170577263","注文","503-7718828-5607856","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","東京都","123-085","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/02 12:09:00 JST","12170577263","注文","249-8993045-7752657","KnBraces-GY-L","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","群馬県","379-020","","417","42","0","0","0","0","-5","0","0","0","0","-252","0","0","202"
"2025/11/02 13:17:13 JST","12170577263","注文","503-4162494-4503801","Dog-TrainSet","犬 トレーニング セット、多機能 犬 トレーニング キット、犬笛リストストラップ、犬 しつけ”、初心者 犬 ト�","1","amazon.jp","Amazon","","神奈川県","233-000","","817","82","0","0","0","0","-27","0","0","0","0","-399","0","0","473"
"2025/11/02 16:31:17 JST","12170577263","注文","503-9098490-0315041","Dog-TrainSet","犬 トレーニング セット、多機能 犬 トレーニング キット、犬笛リストストラップ、犬 しつけ”、初心者 犬 ト�","1","amazon.jp","Amazon","","神奈川県","244-081","","817","82","0","0","0","0","-27","0","0","0","0","-399","0","0","473"
"2025/11/02 19:19:28 JST","12170577263","注文","503-2380753-7957414","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","滋賀県","529-052","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/02 20:31:03 JST","12170577263","注文","503-7667978-2768639","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","東京都","114-002","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/02 21:04:15 JST","12170577263","注文","503-1677087-5161458","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","千葉県","263-000","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/02 21:28:25 JST","12170577263","注文","249-8278884-5571053","Bike-SeatCover","自転車シートクッション - パッド入りジェル 幅広調節可能カバー 男女兼用 快適 ペロトン、固定式エクササイ�","1","amazon.jp","Amazon","","長野県","386-110","","907","91","0","0","0","0","-10","0","0","0","0","-448","0","0","540"
"2025/11/02 22:07:29 JST","12170577263","注文","503-8334158-8361446","FootBraces-BK-L","足首サポーター かかと サポーター 固定かかとサポーター 捻挫 サポーター 足首 関節を保護する 1組 スポーツ �","1","amazon.jp","Amazon","","埼玉県","351-010","","635","63","0","0","0","0","-7","0","0","0","0","-222","0","0","469"
"2025/11/02 23:40:30 JST","12170577263","注文","503-9935584-2508603","Home-Fmat39BK","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","","東京都","206-080","","2,715","272","0","0","0","0","-30","0","0","0","0","-1,100","0","0","1,857"
"2025/11/03 1:51:43 JST","12170577263","注文","503-5601511-4670213","Home-Fmat39BU","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","","Tokyo-to","161-003","","2,334","233","0","0","0","0","-26","0","0","0","0","-1,532","0","0","1,009"
"2025/11/03 4:58:13 JST","12170577263","注文","250-4009821-6027859","KnBraces-GY-XXL","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","3","amazon.jp","Amazon","","埼玉県","343-082","","1,361","136","314","31","0","0","-30","-314","-31","0","0","-756","0","0","711"
"2025/11/03 9:31:07 JST","12170577263","注文","250-3871898-8153416","KND-OvenMitts","耐熱ミトン 耐熱オーブンミトンセット - シリコン製 | 耐熱グローブ、防水、滑り止め | グリル、バーベキュー�","1","amazon.jp","Amazon","","千葉県","297-001","","1,355","135","0","0","0","0","-15","0","0","0","0","-485","0","0","990"
"2025/11/03 14:41:17 JST","12170577263","注文","503-4267655-9594204","Bike-SeatCover","自転車シートクッション - パッド入りジェル 幅広調節可能カバー 男女兼用 快適 ペロトン、固定式エクササイ�","1","amazon.jp","Amazon","","山口県","751-082","","907","91","0","0","0","0","-10","0","0","0","0","-448","0","0","540"
"2025/11/03 16:04:02 JST","12170577263","注文","503-0329502-9342238","KnBraces-GY-XL","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","157-006","","363","36","0","0","0","0","-8","0","0","0","0","-252","0","0","139"
"2025/11/03 16:05:44 JST","12170577263","注文","503-0329502-9342238","KnBraces-GY-XL","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","157-006","","363","36","0","0","0","0","-8","0","0","0","0","-252","0","0","139"
"2025/11/03 18:35:34 JST","12178273673","注文","249-4230310-5198213","Bike-PhoMount","バイク スマホホルダー 自転車 スマホホルダー バイク 携帯ホルダー脱着簡単 対応オートバイ 自転車用携帯電�","1","amazon.jp","Amazon","","埼玉県","350-112","","363","36","0","0","0","0","-4","0","0","0","0","-368","0","0","27"
"2025/11/03 20:06:40 JST","12178273673","注文","249-9623061-4195069","KnBraces-2BK-S","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","東京都","194-002","","545","54","0","0","0","0","-6","0","0","0","0","-252","0","0","341"
"2025/11/03 20:18:43 JST","12178273673","注文","503-0279260-9525428","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","大阪府","562-001","","617","62","0","0","0","0","-7","0","0","0","0","-419","0","0","253"
"2025/11/03 21:07:16 JST","12178273673","注文","503-4955050-0179841","Sport-Ball-Blue","バランスボール 65cm - 妊娠中 ヨガボール 破裂防止 エクササイズボール トレーニング用 フィットネスボール ア�","1","amazon.jp","Amazon","","東京都","105-001","","1,376","138","0","0","0","0","-15","0","0","0","0","-485","0","0","1,014"
"2025/11/03 22:59:50 JST","12178273673","注文","503-7061984-5580646","Bike-Seat-OutdroverB","自転車 サドルカバー 屋外での使用（エラストマー）特大サイズ オーバーサイズ 快適 バイクシート 防水 アウ�","1","amazon.jp","Amazon","","東京都","156-004","","817","82","0","0","0","0","-9","0","0","0","0","-448","0","0","442"
"2025/11/03 23:00:11 JST","12178273673","注文","503-1577029-0241422","Sport-Ball-BK/1","バランスボール 65cm - ヨガボール 破裂防止 妊娠中 エクササイズボール オフィス エクササイズボール トレーニ�","1","amazon.jp","Amazon","","兵庫県","669-346","","1,544","154","0","0","0","0","-17","0","0","0","0","-485","0","0","1,196"
"2025/11/04 0:10:39 JST","12178273673","注文","249-4620117-0383800","KnBraces-GY-S","膝パッド ひざ専用 膝暖めサポーター 膝サポーター GARUET カイロポケット付き膝安定 マラソン/バレーボール/登�","1","amazon.jp","Amazon","","Ibaraki-ken","312-000","","317","32","0","0","0","0","-7","0","0","0","0","-252","0","0","90"
"2025/11/04 2:54:16 JST","12178273673","注文","250-4040692-4212620","Home-Fmat39BU","キッチンマット、多目的スタンディングマット 50x100cm 台所マット 19mm 分厚い - オフィス・車庫での快適さ - 滑�","1","amazon.jp","Amazon","柏原市大県","大阪府","582-001","","2,333","234","84","8","0","0","-26","-84","-8","0","0","-1,532","0","0","1,009"
"2025/11/04 2:55:36 JST","12178273673","注文","250-8893387-4287804","HN-CANU-NNSK","ポップガード 【二重張りメッシュ】ポップフィルター 直径15cm ノイズ防止 録音品質向上 ポップスクリーン ポ�","1","amazon.jp","Amazon","","神奈川県","211-003","","617","62","84","8","0","0","-7","-84","-8","0","0","-419","0","0","253"
