"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"May 1, 2025 2:22:03 AM PDT","23490909161","Order","111-0139579-8061835","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","GREENSBURG","IN","47240","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","-2.55","-7.00","0","0","7.44"
"May 1, 2025 11:24:56 AM PDT","23490909161","Order","111-5553703-5607415","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","LEXINGTON","SC","29073","MarketplaceFacilitator","16.99","1.19","4.16","0","0","0","0","0","-4.16","0","-1.19","-2.55","-7.00","0","0","7.44"
"May 1, 2025 11:24:14 PM PDT","23490909161","Order","113-5684873-0103440","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","MARION","IN","46952","MarketplaceFacilitator","12.99","0.91","3.47","0","0","0","0","0","-3.47","0","-0.91","0","-7.16","0","0","5.83"
"May 2, 2025 6:41:18 AM PDT","23490909161","Order","111-9968413-0793831","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","VERO BEACH","FL","32960","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","0","-7.00","0","0","9.99"
"May 3, 2025 7:38:15 PM PDT","23490909161","Service Fee","","","Subscription","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-21.86","-21.86"
"May 3, 2025 8:36:07 PM PDT","23490909161","Order","113-5912409-9739454","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","Millbury","MA","01527","MarketplaceFacilitator","12.99","0.81","0","0","0","0","0","0","0","0","-0.81","0","-7.16","0","0","5.83"
"May 4, 2025 2:08:07 AM PDT","23490909161","Order","111-7110719-3073038","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","BRADENTON","FL","34211","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","0","-7.00","0","0","9.99"
"May 4, 2025 6:05:04 AM PDT","23490909161","FBA Inventory Fee","112-0364645-9557044","","FBA Removal Order: Disposal Fee","","Amazon.com","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.95","-3.95"
"May 4, 2025 7:56:08 AM PDT","23490909161","Order","113-0837045-4701059","10US-F-Car Boot Organiser Black NEW","Trunk Organizer for SUV - Collapsible Car Organizer for Storage, Multi-Compartment Car Trunk Organizer, Truck Accessories for Men, Car Organizers and","1","amazon.com","Amazon","TARBORO","NC","27886","MarketplaceFacilitator","12.99","0.91","0","0","0","0","0","0","0","0","-0.91","0","-7.16","0","0","5.83"
"May 4, 2025 10:11:08 PM PDT","23490909161","Order","113-5255717-2162651","10US-F-Car Vacuum Cleaner Black NEW","Car Vacuum, Portable Handheld Vacuum Cleaner with 16ft Cord, HEPA Filter, & Attachments - Compact Vacuum for Car, RV, Boats & Travel - Strong Suction","1","amazon.com","Amazon","VESTAVIA","AL","35242","MarketplaceFacilitator","16.99","1.36","2.22","0","0","0","0","0","-2.22","0","-1.36","0","-7.00","0","0","9.99"
