"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"30.06.2025 23:32:10 UTC","25109903102","Bestellung","303-0801895-4201962","MVAWWJSKWDP","Backblech & Abkühlgitter Set - 45 x 34 cm, Aluminium-Backblech mit Edelstahl-Rost für Kekse, Brot & mehr","1","amazon.de","Amazon","Wiesbaden","","65185","MarketplaceFacilitator","15,96","3,03","0","0","0","0","0","0","-3,03","-2,85","-5,27","0","0","7,84"
"30.06.2025 23:33:11 UTC","25109903102","Bestellung","302-6546378-2118751","03DE-F-Guitar Stand","MOVASEE Höhenverstellbarer Gitarrenständer faltbar mit gepolstertem Hals und Yoke","1","amazon.de","Amazon","Paderborn","NRW","33104","MarketplaceFacilitator","10,08","1,91","0","0","0","0","0","0","-1,91","-1,44","-5,20","0","0","3,44"
"30.06.2025 23:35:32 UTC","25109903102","Erstattung","305-5112717-5241933","03DEWWJMJJWJTZ02","8-teiliges Cocktail-Set - Edelstahl-Shaker, Messbecher, Sieb, Rührlöffel, Zange, Flaschenöffner, Holzständer & Rezeptkarten Partys und Feiertage (","1","amazon.de","Amazon","Großenkneten","","26197","MarketplaceFacilitator","-15,12","-2,87","-0,55","-0,11","0","0","0,55","0,11","2,87","2,16","0","0","0","-12,96"
"30.06.2025 23:52:33 UTC","25109903102","Bestellung","303-0753480-7039500","MVAWWJSKWDP","Backblech & Abkühlgitter Set - 45 x 34 cm, Aluminium-Backblech mit Edelstahl-Rost für Kekse, Brot & mehr","1","amazon.de","Amazon","Tulln an der Donau","","3430","MarketplaceFacilitator","15,96","3,19","0","0","0","0","0","0","-3,19","-1,55","-5,27","0","0","9,14"
"30.06.2025 23:57:02 UTC","25109903102","Bestellung","303-8086263-1269167","03DEWWJMJJWJTZ02","8-teiliges Cocktail-Set - Edelstahl-Shaker, Messbecher, Sieb, Rührlöffel, Zange, Flaschenöffner, Holzständer & Rezeptkarten Partys und Feiertage (","1","amazon.de","Amazon","Bismark","","39628","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-3,67","0","0","8,75"
"01.07.2025 00:05:02 UTC","25109903102","Bestellung","302-2670449-3385131","VJ-WEHW-K5VN","Handbetriebene Eiscrusher aus verchromter Zinklegierung - Robuste Edelstahlklingen, rutschfeste Basis, inkl. großem Eisbehälter und Löffel - Ideal","1","amazon.de","Amazon","Leverkusen","","51373","MarketplaceFacilitator","17,64","3,35","0","0","0","0","0","0","-3,35","-3,15","-4,97","0","0","9,52"
"01.07.2025 00:11:32 UTC","25109903102","Bestellung","305-3524196-2716360","03DEWWJMJJWJTZ02","8-teiliges Cocktail-Set - Edelstahl-Shaker, Messbecher, Sieb, Rührlöffel, Zange, Flaschenöffner, Holzständer & Rezeptkarten Partys und Feiertage (","1","amazon.de","Amazon","Essen","","45276","MarketplaceFacilitator","15,12","2,87","0","0","0","0","0","0","-2,87","-2,70","-3,67","0","0","8,75"
"01.07.2025 00:15:39 UTC","25109903102","Bestellung","306-9426246-9837955","03de-H-Towel","MOVASEE Mikrofaser Handtuch 3pc Set,Schnelltrocknend Kompakt Leichtes Microfaser Handtücher mit Organizer,Sporthandtuch,Reisehandtuch,Strandhandtuch","1","amazon.de","Amazon","Damp","","24351","MarketplaceFacilitator","8,39","1,59","0","0","0","0","0","0","-1,59","-1,30","-3,25","0","0","3,84"
"01.07.2025 00:17:33 UTC","25109903102","Bestellung","302-0362408-0699507","4Q-54MD-Y6CV","Natürlicher Mörser aus unpoliertem Granit mit Stößel - 15 cm, 3.5 kg schwer, einzigartiges Muster, einfach zu reinigen - Ideal als Geschenk und f�","1","amazon.de","Amazon","Nürtingen","","72622","MarketplaceFacilitator","16,80","3,19","0","0","0","0","0","0","-3,19","-3,00","-5,67","0","0","8,13"
"01.07.2025 00:19:24 UTC","25109903102","Bestellung","305-9664412-4861929","03DE-SP-BANDS","Lauf-Stirnbänder für Männer, Frauen, Jungen und Mädchen, Sport-Schweißbänder für Basketball, Yoga, Training, Workout, schnelltrocknend und ruts","1","amazon.de","Amazon","Lichtenfels","","96215","MarketplaceFacilitator","5,03","0,96","0","0","0","0","0","0","-0,96","-0,48","-1,87","0","0","2,68"
