"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total"
"3 Nov 2025 3:29:32 am GMT+9","12170266813","Order","250-6373540-5391034","NLK-CSH-Sklt-22","12"" Cast Iron Pan – Heavy-Duty cast Iron Skillet and Deep Frying Pans (2.5"" Deep) – Pre-Seasoned Nonstick Surface for Searing, Baking, Sautéing �","1","amazon.com.au","Amazon","DEEPDENE","VIC","3103","45.99","4.99","0","-4.99","0","0","-5.98","-11.20","0","0","28.81"
"3 Nov 2025 8:19:59 am GMT+9","12170266813","Order","503-4146249-8947851","CCF-CSH-PzaPel","Large Pizza Peel with Folding Handle – Durable Stainless Steel Pizza Paddle for Easy Transfer, Perfect Pizza Turning Peel for Outdoor Pizza Ovens an","1","amazon.com.au","Amazon","GREENSBOROUGH","VIC","3088","22.41","0","0","0","0","0","-2.91","-10.65","0","0","8.85"
"3 Nov 2025 8:21:58 am GMT+9","12170266813","Order","249-4764346-1773440","NLK-CSH-Sklt-22","12"" Cast Iron Pan – Heavy-Duty cast Iron Skillet and Deep Frying Pans (2.5"" Deep) – Pre-Seasoned Nonstick Surface for Searing, Baking, Sautéing �","1","amazon.com.au","Amazon","MODBURY NORTH","SA","5092","40.21","0","0","0","0","0","-5.23","-11.20","0","0","23.78"
"3 Nov 2025 8:27:10 am GMT+9","12170266813","Order","503-0572486-6540618","CCF-CSH-TstrPn5pcs","5-Piece Nonstick Bakeware Set for Toaster & Convection Ovens – Includes Baking Trays, Cooling Rack & Silicone Mats – Compact Baking Tray Set for S","1","amazon.com.au","Amazon","MIRANDA","NSW","2228","24.99","0","0","0","0","0","-3.25","-9.12","0","0","12.62"
"3 Nov 2025 8:44:08 am GMT+9","12170266813","Order","249-8027659-5870247","NLK-CSH-Sklt-22","12"" Cast Iron Pan – Heavy-Duty cast Iron Skillet and Deep Frying Pans (2.5"" Deep) – Pre-Seasoned Nonstick Surface for Searing, Baking, Sautéing �","1","amazon.com.au","Amazon","COBURG","VIC","3058","45.99","7.99","0","0","0","0","-5.98","-19.19","0","0","28.81"
"3 Nov 2025 8:47:34 am GMT+9","12170266813","Order","503-5510447-2260639","CCF-CSH1-PzaCtr-L14","Pizza Cutter Rocker Blade 14"" - Sharp Stainless Steel Rocker Knife with Plastic Blade Sheath, Dishwasher Safe, Outdoor Pizza Oven Accessories (14 inch","1","amazon.com.au","Amazon","SURRY HILLS","NSW","2010","17.99","1.60","0","-1.60","0","0","-2.34","-8.40","0","0","7.25"
"3 Nov 2025 12:05:04 pm GMT+9","12170266813","Fulfilment by Amazon inventory fee","nuNFPe/gEl","","FBA Disposal Fee","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-0.97","-0.97"
"3 Nov 2025 4:05:00 pm GMT+9","12170266813","Order","249-7233812-3197445","CCF-CSH2-AlShtPnBkRk-HlfTwn","Stainless Steel Baking Tray and Rack Set – 2 Half Sheet Oven Trays with 2 Cooling Racks for Oven, Durable Bakeware for Baking, Cooking, Grilling, an","1","amazon.com.au","Amazon","ALGESTER","QLD","4115","50.21","0","0","0","0","0","-6.53","-14.34","0","0","29.34"
"3 Nov 2025 5:26:02 pm GMT+9","12178183403","Order","503-2068641-6082267","MNM-CSH-CwdSwgChr-Crm","Baby Swing Chair for Indoor & Outdoor Fun – Soft Cotton Canvas Toddler Swing with Beech Wood Frame – Safe & Comfy Baby Toys – Ideal Sensory Swin","1","amazon.com.au","Amazon","COTTESLOE","WA","6011","48.42","0","0","0","0","0","-6.29","-11.21","0","0","30.92"
"3 Nov 2025 7:49:19 pm GMT+9","12178183403","Adjustment","","NLK-CSH-DblDchOvn","FBA Inventory Reimbursement - Lost:Inbound","54","","","","","","0","0","0","0","0","0","0","0","0","2,091.42","2,091.42"
